Course ID,Course Name,Course Description,Term(s) Offered,Staff,Equivalent Courses,Prerequisites
MUSI 24820,  Video Game Music Production and Sound Design,"
The advent of video game soundtrack releases and live game music concerts substantiate the importance of music and sound in games, not just as accompaniments but as essential aspects of the gaming experience. This production course surveys the history of sound effects, music, and design in games beginning with the bleeps and bloops of the 1970s and concluding with the ambient, nonlinear soundscape of many contemporary games. Following the timeline media theorist Karen Collins presents in her documentary Beep, this course will explore electronic sound technologies including virtual analog synthesis, frequency modulation, bit reduction, General MIDI, and sample-based production. Each student will compose a game soundtrack demo for their final project. This course welcomes students who are both new to and experienced in sound production; the complexity of each assignment can be adjusted based on experience.",Autumn,Takashi Shallow,MAAD 24820,NaN
MUSI 24822,  Video Game Music and Sound,"
From 8-bit audio tracks to orchestral concerts of video game music, from the
percussive clicks of keyboards and controllers to menu noises, sound is tightly tied to the experience of playing video games. In this course, we'll explore how game music and sound interact with narrative, the embodiment of play, and musical environments outside of the games themselves. Our engagement with game music and sound will be mostly analytical, but there will be an opportunity for a creative final project for those students who might be interested. No prior music courses are required, although some familiarity with musical terminology and experience playing video games may prove useful.",Autumn,Will Myers,MAAD 14822,NaN
MUSI 25020,  Opera Across Media,"
Open to all undergraduates.
Over the course of the last hundred and twenty years, opera and cinema have been sounded and seen together again and again. Where opera is commonly associated with extravagant performance and production, cinema is popularly associated realism. Yet their encounter not only proves these assumptions wrong but produces some extraordinary third kinds-media hybrids. It also produces some extraordinary love affairs. Thomas Edison wanted a film of his to be ""a grand opera,"" and Federico Fellini and Woody Allen wanted opera to saturate their films. Thinking about these mutual attractions, ""Opera across Media"" explores different operatic and cinematic repertories as well as other media forms. Among films to be studied are Pabst's Threepenny Opera (1931), Visconti's Senso (1954), Powell and Pressburger's Tales of Hoffmann (1951), Zeffirelli's La traviata (1981), De Mille's Carmen (1915), Losey's Don Giovanni (1979), Bergman's The Magic Flute (1975), and Fellini's E la nave va (1983).
No prior background in music performance, theory, or notation is needed. Students may write papers based on their own skills and interests relevant to the course. Required work includes attendance at all screenings and classes; weekly postings on Canvas about readings and viewings; attendances at a Met HD broadcast and a Lyric Opera live opera; a short ""think piece"" midway through the course; and a final term paper of 8-10 pages.",Autumn,Martha Feldman,"GNSE 25020, MAAD 13020, ITAL 25020, CMST 24617, SIGN 26058, TAPS 26516",NaN
MUSI 25100,  Analysis of Music of the Classical Period,"
This course focuses on the compositional norms of the ""galant"" and ""high classical"" styles of the eighteenth century, especially the instrumental music of Haydn, Mozart, and Beethoven. We will approach this repertoire from different angles, engaging literature on Formenlehre, schema theory, rhythm and meter, and topic theory. Ultimately, we will explore how conventions and deviations thereof participate in the construction of musical meaning and expression.",Winter,Various,MUSI 30809,MUSI 15300 or equivalent
MUSI 25200,  Analysis of Nineteenth-Century Music,"
This course focuses on the tonal language of nineteenth-century European composers, including Schubert, Chopin, Brahms, and Wagner. Students confront analytical problems posed by these and other composers' increasing uses of chromaticism and extended forms through both traditional (classical) models of tonal harmony and form, as well as alternative approaches specifically tailored to this repertory. We will also address the ways in which these analytical perspectives might impinge on or influence matters of performance; students with a performance background will be invited to propose a final project that involves both performance and analysis.",Spring,NaN,MUSI 35200,MUSI 15300 or equivalent
MUSI 25300,  Analysis of Twentieth-Century Music,"
This course introduces theoretical and analytical approaches to twentieth-century music. The core of the course involves learning a new theoretical apparatus-often called ""set theory""-and exploring how best to apply that apparatus analytically to pieces by composers such as Schoenberg, Bartók, and Stravinsky. We also explore the relevance of the theoretical models to music outside of the high-modernist canon, including some jazz. The course provides an opportunity to confront some foundational questions regarding what it means to ""theorize about music.""",Various,Various,MUSI 35300,MUSI 15300 or equivalent
MUSI 25421,  Bach Yesterday and Today,"
Johann Sebastian Bach is somewhat of a cipher, one whose image and meaning has changed remarkably over the centuries.  In this class, we will look at many of these shifting images of the famous Leipzig composer.  Was he the pious Thomaskantor dutifully churning out his cantatas and passions or the intellectual wizard of an abstract and dying fugal art?   A belated hero of German nationalism, or a universal icon of musical humanity celebrated by many as the greatest composer of all time?  We will do a fair amount of readings that reflect many of these changing views of Bach.  But we will also spend much of our time listening to-and studying-his music, seeing what clues he has offered to help us understand this most enigmatic of composers.  While an advanced understanding of music theory is not a prerequisite for this course, it will be important that you can read music and helpful to have a foundational understanding of harmony and counterpoint.",Spring,Thomas Christensen,GRMN 25422,NaN
MUSI 25422,  Hearing Popular Music,"
For decades, popular music has been the soundtrack to many Americans' lives. This class explores the structure, function, and impact of a range of vernacular musics from the 20th and 21st centuries. Our approach to popular music will be by turns historical, analytical, and sociological. Students will learn about formal designs of pop songs, from verse-chorus to much more elaborate structures, along with antecedents in the Great American Songbook tradition. Students will learn to analyze the harmonic and melodic conventions in various genres, and also spend significant time with groove analysis and design. Finally, the class will interrogate the sociological relevance of vernacular musics, weaving in discussions of relevant social issues from radio play to popularity, and from subcultural appeal to racial identity. This class is open to anyone who listens carefully and with passion, and who wants to grow their ability to write about music. Experience as a practitioner of any type of music and/or a passing knowledge of music theory will be helpful, but it is not necessary to read notated music for this course.",Autumn,Jennifer Iverson,"MAAD 12422, SIGN 26090",NaN
MUSI 25622,  Listening to Flamenco,"
Alluring dance, virtuosic guitar playing, and deep song. This course provides and introduction to the history and theory of flamenco-developed by the oft-marginalized gitano people (Spanish Roma) and recognized as World Heritage Treasure by UNESCO. Students will learn to describe musical and choreographic techniques and to distinguish between the different subgenres that constitute flamenco. Through a study of the music and complementary readings, we will learn about gitano culture and explore issues of identity, representation, class, gender, and ethnicity.",Winter,Olga Sanchez Kisielewska,"SPAN 25622, SPAN 35622, MUSI 35622",NaN
MUSI 25721,  Music of the Black Radical Tradition,"
Black artists are often written out of the history of musical experimentalism. John Cage's place in the canon is secure, but what of Cecil Taylor's? Or Anthony Braxton's? Or Matana Roberts's? Labels like ""jazz"" or ""free jazz"" segregate these artists from white experimentalists, suggesting that their music is best understood within a narrowly racialized genre category, rather than as part of the experimental mainstream, with its assumed whiteness, institutional support, and inbuilt prestige. This course redresses this imbalance by centering the music of Black radical composers in the latter half of the twentieth century. We will study the music of a wide range of composers, including many associated with the Association for the Advancement of Creative Musicians (AACM), one of the most venerable musical collectives of the twentieth century, rooted right here in Chicago's South Side. The course will tack between studies of the music's sounds and its historical, political, and ideological contexts. We will develop critical and analytical language for engaging the often-bracing sound worlds of those composers while building out a contextual understanding of their work as at once capaciously experimental and situated in a political context of resistance.",Spring,Steve Rings,CRES 25721,NaN
MUSI 25722,  The Musical Interface: Constraint and Creativity,"
Music-making involves constraint: the layout of a keyboard or guitar, the poetic systems of an epic storyteller, the practice techniques of a singer who cultivates a certain sound, or even the lines of code that an algorithmic music-maker strings together. New technologies bring new rules, as well as new ways to break the rules: autotuned vocals are no longer derided, and tools like Melodyne are now a standard part of music production. Constraint, then, produces creativity-but how does this look with particular instruments and traditions? How do artists make the most of their tools?
In this hands-on class, we will explore the interface through the concepts of affordance, interval systems, algorithms, and generalizable schemas. You won't just analyze art: you will also produce it and discuss your experiences with each type of interface. Our topics will include electronic music constructed on digital audio workstations and through code, the piano keyboard, the harmonica, Korean p'ansori sung storytelling, streaming platforms and recommendation algorithms, and the Italian solfeggio tradition. This class includes a creative final project in the sonic medium of your choice.",Spring,Andrew White,MAAD 25722,NaN
MUSI 26100,  Introduction to Composition,"
Designed for beginning composers to practice and hone the nuances of their musical craft, this course introduces some of the fundamentals of music composition through a series of exercises as well as several larger creative projects. Professional musicians will perform students' exercises and compositions.
This is primarily a creative, composing course. Through a combination of composition assignments, listening, discussion, analysis, and reading, we will explore and practice the fundamental aspects of music composition. Repertoire study, harmony, counterpoint, rhythm, orchestration, timbre, form, transformation, and several other pertinent essentials are included in the curriculum. This laboratory-style, practical course is interactive and discussion-based.",Autumn,NaN,NaN,"Any two quarters of music theory, inclusive of 14300 and 15153, or permission from the instructor"
MUSI 26200,  Advanced Composition,"
This course is a continuation of MUSI 261: Introduction to Composition, and an opportunity to go deeper into creative work. The focus will be on writing new pieces while also learning about various techniques and aesthetics, with special attention on music of the last hundred years. The new works will be performed and recorded by professional musicians, with demonstrations of instruments as well. Students are encouraged to bring their own existing interests into discussions and projects, while also incorporating newly acquired ideas and inspirations. There will also be focused attention on analysis of more recent repertoire for a variety of instrumentations and configurations, addressing new ways of thinking about harmony, melody, form, timbre, orchestration, rhythm, improvisation, notation, technology, theatricality, and concept. Students will also attend rehearsals and performances of the Chicago Center for Contemporary Composition and other events on campus.",NaN,NaN,NaN,NaN
MUSI 26521,  Introduction to Sonic Arts,"
This course provides a historical, theoretical, and practical introduction to aesthetic technologies of sound. Open to students in Music, DOVA, TAPS, and MAAD, this course is geared toward a broad spectrum of creators including material musicians, mixed-media artists, dramaturges, game designers, etc. who use sound in their artistic practice. The course will include a historical overview of the porous relationship between sound and music from the birth of electricity, futurism, and Dada to recent conceptions and innovations of the sonic arts in computer music, intermedia, installations, gaming, and performance art.",NaN,NaN,NaN,NaN
MUSI 26618,  Electronic Music: Composing with Sound,"
Electronic Music I presents an open environment for creativity and expression through composition in the electronic music studio. The course provides students with a background in the fundamentals of sound and acoustics, covers the theory and practice of digital signal processing for audio, and introduces the recording studio as a powerful compositional tool. The course culminates in a concert of original student works presented in multi-channel surround sound. Enrollment gives students access to the Electronic Music Studio in the Department of Music. No prior knowledge of electronic music is necessary.",NaN,Sam Pluta,"MAAD 24618, MUSI 36618",NaN
MUSI 26715,  16th Century Counterpoint,"
This class explores sixteenth century counterpoint through the lens of species counterpoint training as codified in the eighteenth century. Students will produce compositions and exercises for two and three voices, with a brief excursion into four voice counterpoint. The class will develop a critical ear and a mind towards good counterpoint with in-class critique and discussion. Each class will also be devoted to discussing counterpoint in repertoire from medieval to present, focusing on sixteenth century masterworks, in tandem with assignments in which students complete brief lines of missing voices in existing repertoire, comparing their own solutions with the original. We also compare and discuss famous examples of student counterpoint from Mozart, Beethoven, and others.",Winter,James Kallembach,MUSI 36720,MUSI 153 or equivalent
MUSI 26718,  Electronic Music: Approaches to Electronic Music,"
Hand-built circuits, tape loops, feedback, filters, ring modulators, turntables, live-processing software environments, microphones, and human-machine interface designs. In this course, we will study current and historical approaches to the performative use of hardware and software environments in music, and will follow the practice as it continues to redefine music composition and improvisation in the 21st century. Study will be repertoire-based, drawing from the work of artists ranging from David Tudor to Herbie Hancock to Grandmaster Flash to Kaija Saariaho.",NaN,Sam Pluta,"MAAD 16718, MUSI 36718",NaN
MUSI 26725,  Staging Richard Wagner's Ring of the Nibelung in the 21st Century,"
This team-taught course explores the challenges of staging Richard Wagner's sprawling 19th-century tetralogy The Ring of the Nibelung in the 21st century. The course will offer an introduction to The Ring, including its complicated place in history (including its reception and production history), and how it has been thought about in recent musicology and critical theory. But first and foremost, we will be exploring how the piece is being staged today. To that end, we will explore four productions of the tetralogy that are currently being prepared at leading opera houses around the world - in Munich, London, Berlin, and Oslo - speaking, via Zoom, with artistic directors and the production teams about their ideas and ambitions. What are the interpretive challenges and opportunities in staging this mammoth work? How do these productions seek to engage the tetralogy's exceedingly complicated aesthetic ambitions, political baggage, and production history? And how do specific geographical, cultural, and historical conditions affect the artistic project of each production? Our discussions will encompass a range of fields, approaches, and topics. Among the themes we plan to examine are the aspiration to aesthetic totalization, the politics of community, the relationship between canonicity and critique, the notion of distress or emergency (the German term is Not), and some astonishingly lurid fantasies of family life-mostly of family dissolution. Moreover, we will approach the questi",Autumn,"David Levin, Hedda Høgåsen-Hallesby","TAPS 36518, MUSI 36725, TAPS 26518, GRMN 36725, GRMN 26725",NaN
MUSI 26780,"  Caribbean Music, Performance, and Popular Culture in the Age of Precarity: 1990 to the Present","
This course explores the concept of precarity and its influence on artistic and cultural expressions within contemporary Caribbean popular culture, primarily from the 1990s to the present day. Precarity is broadly defined as the feeling or experience of instability resulting from various social, economic, political, and environmental factors, including structural adjustments, climate change (such as hurricanes and earthquakes), and the impact of the COVID-19 pandemic, among others. Particular emphasis is placed on the role of art in shaping popular responses to precarity, including significant events like mass protests, the Black Lives Matter and George Floyd protests, uprisings against the deportation of Haitians in the Dominican Republic, as well as interrelated international movements like #LifeinLeggings and #Metoo. The course delves into how Caribbean performance and popular music have engaged with these issues, with a focus on music genres like dancehall, wylers, soca, reggaetón, and the individual artistic works of Caribbean artists such as  LaVaughn Belle, Helen Ceballos, Joiri Minaya, and others. These artists use their work to explore themes of precarity and to envision potential alternatives to the contemporary challenges of insecurity, touching on issues related to gender, sexuality, and race.",Winter,Jessica Baker and Danielle Roper,"MUSI 36780, SPAN 36780, SPAN 26780",NaN
MUSI 26817,  Electronic Music: Introduction to Computer Music Programming,"
This course is an introduction to computer-based sound art and live electronic music performance.  Our primary tool for this course will be MAX/MSP, a computer music programming language designed for composition and real-time music applications. Through this language we will explore the foundations of computer music, including digital instrument design, sequencing, live processing, sound diffusion, and various approaches to algorithmic music generation.",Autumn,David Bird,"MUSI 36817, MAAD 24817",NaN
MUSI 27100-27200-27300,  Topics in the History of Western Music I-II-III,"
This sequence is a three-quarter investigation into Western art music, with primary emphasis on the vocal and instrumental repertories of Western Europe and the United States. This sequence is now offered every year, allowing students to complete the music major within the space of two years.",NaN,NaN,NaN,NaN
MUSI 27423,"  Divas, Idols, Material Girls: Gender and Sexuality in Music Videos","
The stark black and white of Madonna's ""Vogue"" and the pinks and sparkles of ""Material Girl."" The explosive surprise releases of Beyoncé's BEYONCÉ and Lemonade visual albums. The lavish cinematic spectacle of Taylor Swift's ""Bad Blood"" and the fanbait intertextuality of SM Entertainment's Aespa. Since MTV's advent in 1981, hit music videos have made a number of pop songs inextricable from iconic imagery and choreography; ubiquitous digital devices and the rise of platforms like YouTube and TikTok have only increased pop music's audiovisuality.
Looking at and listening to female pop icons raises fraught questions of agency, representation, race, sexuality/sexualization, bodies, commodification, and capital. In this course, students will gain a vocabulary for talking about both the audio and visual parameters of music video, and they will use this vocabulary to engage with critical frameworks for examining meaning, circulation, and reception in contemporary music videos.
Assignments across the course will allow students to experiment with a range of writing and media genres, including critical close readings, micro-reception histories, thinkpieces, podcast episodes, and video essays.",Autumn,Paula Harper,"GNSE 20135, MAAD 14723",NaN
MUSI 27523,  Issues in Pop Music,"
TBA",Winter,Paula Harper,NaN,NaN
MUSI 27623,  Theories and Aesthetics of Remix,"
Remix, mashup, bricolage, borrowing, sampling, collage - transformative creative techniques pervade 20th- and 21st-century musical and artistic practice. The spectrum of remixing spans virtuosically across hip hop and DJ culture, through classical and avant-garde composition, to the crudest deep-fried internet memery. Taking a topical approach, this course will use readings, texts, and practices of remix-in many guises-to explore questions of aesthetics, agency, economics, and politics. Topics under consideration include: intertextuality, aesthetics and form, technology and hardware/software affordances, genre and identity, AI, politics, appropriation and copyright, humor and value, memes and shitposts. Assessments will include hands-on creative projects using a spectrum of techniques, media, and software.",Winter,Paula Harper,MAAD 20623,NaN
MUSI 27624,  New Forms in DJing,"
This course will briefly explore the history of the media of DJing, then to invent a new form in the lineage through practice. Conventional history including disco, broadcasting, and Youtube, to name a few, and more experimental history including underground hip-hop, musique concrete, and contemporary performance art. The course will begin with student research and presentation on such topics followed by predictions about what may come next or brainstorming ways to deconstruct existing forms, then attempting to enact those ideas.",Spring,Takashi Shallow,MAAD 20624,To be taken in sequence with MUSI 27623: Theories and Aesthetics of Remix
MUSI 28500,  Musicianship Skills,"
This is a yearlong course in ear training, keyboard progressions, realization of figured basses at the keyboard, and reading of chamber and orchestral scores. Classes each week consist of one dictation lab (sixty minutes long) and one keyboard lab (thirty minutes long).",NaN,Olga Sánchez-Kisielewska,NaN,MUSI 15300. Open only to students who are majoring in music.
MUSI 28723,  Music as Trauma and Recovery Post-1900,"
This course for undergraduate majors and non-majors critically explore the role of music in acts of mourning, resistance, and healing as well as in moments contributing to trauma and recovery. Each week will center around a different case study of an instance in which music has been a primary agent for documentation, memorialization, and healing for both the individual and the collective. We will engage with a wide array of both popular and art musical materials. Throughout the class, we will ask: How might music be used to cause harm? What are the ethical implications of beautiful music? Why does some music aesthetically lend itself to ideas of recovery? How do we contend with music's alleged universality and its position as a human right when it has the potentiality to both scar and soothe? In addressing these questions, we will contend with the role of musicology and humanistic research in times of upheaval. Please be aware that this course will cover sensitive topics including: military, racialized, sexual, and domestic violence.",Spring,"Natalie Farrell, Pozen Center for Human Rights Graduate Lecturer",HMRT 28723,NaN
MUSI 29500,  Undergraduate Honors Seminar,"
The seminar guides students through the preliminary stages of selecting and refining a topic, and provides an interactive forum for presenting and discussing the early stages of research, conceptualization, and writing. The course culminates in the presentation of a paper that serves as the foundation of the honors thesis. The instructors work closely with honors project supervisors, who may be drawn from the entire music faculty.",Spring,NaN,NaN,Consent of instructor. Open only to third years who are majoring in music and wish to develop a research project and prepare it for submission for departmental honors.
MUSI 29900,  Senior Essay or Composition,"
Prerequisites: MUSI 26100 and MUSI 26200 (26200 can be taken concurrently with 24000)
MUSI 15100, 15200 and 15300
Consent of instructor
Students may enroll in this course more than once as an elective, but it may be counted only once towards requirements for the music major or minor. Students must also register for MUSI 24100, Seminar: Composition.",NaN,David Bird,NaN,Consent of instructor and director of undergraduate studies
AKKD 10202,  Intermediate Akkadian: The Babylonian Epic of Creation,"
Babylonia's most important religious text is the Epic of Creation enūma eliš. In this course, we will read selected passages covering topics like the pre-existence and genesis of the gods, divine fights for supremacy, and the creation of the world and humankind. Participants gain an understanding of the historical-cultural implications of the text while learning the Standard Babylonian dialect and practicing grammar and the cuneiform script. An introduction to the advanced tools of the field, like dictionaries and databases, prepares for advanced Akkadian classes.",Autumn,"Paulus, Susanne",NaN,NaN
AKKD 10203,  Advanced Akkadian: Curses,"
The idea that gods curse an offender is deeply rooted in Mesopotamian society. In this course, we will explore the origin and composition of curses, their applications in different textual genres, and the consequences of living in a world of curses. We will read different text genres from different periods, including the epilogue of the Codex Hammurabi, royal inscriptions, treaties, contracts, and literary texts and rituals. An introduction to the different genres and dialects eases the participants into the material, which will be read and analyzed in detail. The participants trained in comparative textual analysis and argumentation, and they practiced translating complex Akkadian texts.",Spring,"Paulus, Susanne",NaN,NaN
AKKD 10501-10502-10503,  Introduction to Babylonian I-II-III,"
Introduction to Babylonian",NaN,NaN,NaN,NaN
AKKD 20352,  Neo-Babylonian Legal Texts,"
Neo-Babylonian Legal Texts",Winter,Martha Roth,AKKD 30350,2 years Akkadian or permission of instructor
AKKD 20604,  Intermediate Akkadian - The Standard Babylonian Gilgamesh Epic,"
This course expands and cements students' knowledge of the Akkadian language through readings from the most famous work of literature from ancient Mesopotamia, the Standard Babylonian Epic of Gilgamesh. Our focus will be on deepening proficiency in grammar and reading cuneiform signs, on developing understanding of the literary dialect of Standard Babylonian, and on the pleasures of collectively reading this profound, perplexing, and beautiful text. We will also consider a range of issues relevant to the study of Babylonian literature: critical use of sign lists, dictionaries, and other Assyriological resources; questions of translation; and matters of cuneiform textual criticism, particularly those that arise from the study of texts known from multiple manuscripts.",Autumn,Jane Gordon,AKKD 30604,One year of Akkadian
AANL 20120,  Advanced Hittite: Literary Texts,"
This course focuses on Hittite literary texts. The texts are read in cuneiform and placed in their social-historical context. The reading hones the student's philological skills. We will study both translated literature, such as the Gilgamesh epic, and indigenous literature. Hittite indigenous literature has often been dismissed as unsophisticated, but recent research has led to a reevaluation. Guided by this research we will further explore the literariness of indigenous literature and its relationship to translated literature. We will also engage with recent work on the influence of Hittite literature on Greek literature.",Autumn,Petra Goedegebuure,AANL 30120,"Elementary Hittite I, II, III"
AANL 20301,  Late Hieroglyphic Luwian (ca,"
This course introduces the student to the grammar and writing system of the Hieroglyphic Luwian language of the first millennium BC (1000 to 700). Once the grammar is discussed, older and younger texts of that period are read, including the Karatepe Bilingual.",Spring,"Goedegebuure, Petra",NaN,NaN
ARAB 10101-10102-10103,  Elementary Arabic I-II-III,"
This sequence concentrates on the acquisition of speaking, reading, and aural skills in modern formal Arabic. The class meets for five days a week, 50 minutes each day.",NaN,NaN,NaN,NaN
ARAB 10123,  Summer Intensive Arabic Level 1,"
Summer Intensive Arabic Level I is an eight-week course designed to introduce complete novices to the fundamentals of Arabic in the four language skills (speaking, listening, reading, and writing). Classes are small and use the Alif Baa' and al-Kitaab textbook (2nd edition), supplemented by authentic materials, both to learn the language and to experience the culture. Cultural proficiency is an integral part of the language instruction (forms of address, youth phrases, phrases used among intimate friends,etc.). Students will spend 4-5 hours per day practicing using Arabic in classroom activities and should plan on studying an additional 3-4 hours most afternoons and evenings. In addition to class time, a full day trip to an Arab neighborhood in Chicago provides an opportunity to use Arabic in an authentic cultural context. Cultural exposure will also be supplemented through guest speakers, songs, and films. At the conclusion of the course, students can expect to have mastered the sounds and shapes of the Arabic alphabet and to be able to speak about themselves and their world in Modern Standard Arabic, as well as to engage in conversations about familiar topics with native speakers, to comprehend basic texts, and to use some common phrases in colloquial Egyptian and Shaami.",Summer,NaN,NaN,NaN
ARAB 10250,  Colloquial Levantine Arabic,"
Spoken Levantine Arabic is a proficiency-based course designed to develop the linguistic skills necessary for personal day-to-day life. The course focuses on spoken rather than Standard written Arabic, and will therefore target primarily the oral/aural skills. Through the knowledge of Modern Standard Arabic and the introduction of colloquial vocabulary, expressions and grammar, the course will build the students' competence in spoken Arabic. Students will also be introduced to the Levantine culture of Syria, Lebanon, Jordan, and Palestine.",Autumn,O. abu-Eledam,NaN,NaN
ARAB 10257,  Colloquial Levantine Arabic II,"
Colloquial Levantine Arabic is a proficiency-based course designed to develop the linguistic skills necessary for personal day-to-day life. The course focuses on spoken rather than Standard written Arabic, and will therefore target primarily the oral/aural skills. Through the knowledge of Modern Standard Arabic and the introduction of colloquial vocabulary, expressions and grammar, the course will build the students' competence in spoken Arabic. Students will also be introduced to the Levantine culture.",Winter,Osama Abu-Eledam,NaN,NaN
ARAB 15001,  Elementary Arabic in Rome,"
TBD",NaN,NaN,NaN,NaN
ARAB 15002,  Elementary Arabic in Jerusalem,"
",NaN,NaN,NaN,NaN
ARAB 15003,  Intermediate Arabic in Jerusalem,"
",NaN,NaN,NaN,NaN
ARAB 15004,  Intermediate Arabic in Jerusalem,"
",NaN,NaN,NaN,NaN
ARAB 15005,  Advanced Arabic in Jerusalem,"
",NaN,NaN,NaN,NaN
ARAB 15006,  Advanced Arabic in Jerusalem,"
",NaN,NaN,NaN,NaN
ARAB 15007,  Elementary Arabic in Cairo,"
Elementary Arabic in Cairo",NaN,NaN,NaN,NaN
ARAB 15008,  Elementary Arabic in Cairo,"
Elementary Arabic in Cairo",NaN,NaN,NaN,NaN
ARAB 15009,  Intermediate Arabic in Cairo,"
Intermediate Arabic in Cairo",NaN,NaN,NaN,NaN
ARAB 15010,  Intermediate Arabic in Cairo,"
Intermediate Arabic in Cairo",NaN,NaN,NaN,NaN
ARAB 15011,  Advanced Arabic in Cairo,"
Advanced Arabic in Cairo",NaN,NaN,NaN,NaN
ARAB 15012,  Advanced Arabic in Cairo,"
Advanced Arabic in Cairo",NaN,NaN,NaN,NaN
ARAB 15013,  Elementary Arabic in Morocco,"
",NaN,NaN,NaN,NaN
ARAB 15014,  Elementary Arabic in Morocco,"
",NaN,NaN,NaN,NaN
ARAB 15015,  Intermediate Arabic in Morocco,"
",NaN,NaN,NaN,NaN
ARAB 15016,  Intermediate Arabic in Morocco,"
",NaN,NaN,NaN,NaN
ARAB 15017,  Advanced Arabic in Morocco,"
",NaN,NaN,NaN,NaN
ARAB 15018,  Advanced Arabic in Morocco,"
",NaN,NaN,NaN,NaN
ARAB 15019,  Elementary Arabic in Granada,"
",NaN,NaN,NaN,NaN
ARAB 15020,  Elementary Arabic in Granada,"
",NaN,NaN,NaN,NaN
ARAB 15021,  Intermediate Arabic in Granada,"
",NaN,NaN,NaN,NaN
ARAB 15022,  Intermediate Arabic in Granada,"
",NaN,NaN,NaN,NaN
ARAB 15023,  Advanced Arabic in Granada,"
",NaN,NaN,NaN,NaN
ARAB 15024,  Advanced Arabic in Granada,"
",NaN,NaN,NaN,NaN
ARAB 20100,  Intermediate Modern Arabic for CPS Students,"
StarTalk Arabic-Year 2",NaN,NaN,NaN,NaN
ARAB 20101-20102-20103,  Intermediate Arabic I-II-III,"
This sequence concentrates on speaking, reading, and aural skills at the intermediate level of modern formal Arabic.",NaN,NaN,NaN,NaN
ARAB 20110,  Arabic for Special Purposes: Arabic for STEM,"
Arabic for STEM is an advanced Arabic course that aims to develop students' ability to communicate about science, technology, engineering, and math in Arabic. Over the course of the term, students build towards two parallel goals: (1) to be able to provide science and math tutoring in Arabic at the elementary or high school level, and (2) for STEM majors, to be able to discuss their studies in Arabic, or, for non-STEM majors, to be able to discuss current technical topics of interest in Arabic. Students work towards these goals by studying a series of modules, for example: mathematics & statistics, chemistry & climate change, physics & space exploration, and data & artificial intelligence.",Winter,Aidan Kaplan,NaN,3 years of Arabic
ARAB 20111,  Arabic for Special Purposes: Arabic for Business,"
For both graduates and undergraduates. Arabic for business is designed to improve your everyday spoken and written Arabic and specially to promote fluency in business communication. This course explores the language of Arabic business as used in readings, correspondence, and documents. It prepares students for successful communication in the Arabic-speaking business world. The course builds upon students' existing knowledge with an emphasis on practical, real-life business applications of Arabic language vocabulary, structure and functionality. Additionally, its aim is to provide students with the basic cross-cultural understanding, and the accuracy in spoken and written communication necessary to effectively participate in the Arabic speaking business world.",Winter,Osama Abu Eledam,NaN,Students are required to have an equivalent of Intermediate Arabic or permission from the instructor.
ARAB 20112,  Arabic for Academic Reading,"
Arabic for academic reading.",Autumn,Noha Foster,NaN,equivalent of 3 years of Arabic
ARAB 20113,  Food Culture in the Arab World,"
Food Culture in the Arab World",Spring,Noha Forster,NaN,3 years of Arabic
ARAB 20114,  Introduction to Arabic Linguistics,"
This course is an introduction to Arabic linguistics, the scientific study of language and its structure.",Spring,Zainab Hermes,NaN,three years of Arabic or the consent of the instructor.
ARAB 20115,  Colloquial Egyptian Arabic Language and Culture I,"
Colloquial Egyptian Arabic Language and Culture I",Autumn,Zainab Hermes,NaN,NaN
ARAB 20116,  Colloquial Egyptian Arabic Language and Culture II,"
Colloquial Egyptian Arabic Language and Culture",Winter,Hala Abdel Mobdy,NaN,NaN
ARAB 20123,  Summer Intensive Arabic Level II,"
Summer Intensive Arabic Level 2 is designed for students who have completed the equivalent of Alif Baa' and al-Kitaab Part One. In this 8-week summer course in Arabic, instructors will make full use of the abundant online resources and real-time interactions with native speakers to achieve the course objective of intermediate high proficiency in the four skills. Students will improve and refine their language skills using al-Kitaab part 2 (3rd edition), along with authentic film and video clips, social media posts, songs, stories, poems, and articles. Cultural proficiency is an integral part of the language instruction, as students immerse themselves in readings (literary and journalistic) and engage in conversations with their classmates and with guest lecturers/presenters. Students will also extend their language and cultural skills by working on songs and film extracts. The class will help students develop their ability to initiate and sustain discussion on topics of general interest and to present information and simple narratives in Modern Standard Arabic; to understand a wide range of written genres in Arabic, including formal writing, journalistic texts, and less formal styles; to write and speak with increasing accuracy and fluency; and to carry out basic research with non-technical texts.",Summer,NaN,NaN,NaN
ARAB 20601,  High Intermediate Modern Standard Arabic I,"
High Intermediate Arabic, the modern track, provides students with a full academic year to activate the language and grammar studied in the first two years, while expanding their cultural and literary knowledge of the Arab world. This three-quarter sequence is taught in Arabic and focuses on all four language skills. The purpose of this sequence is conceived of functionally (what can students do) rather than with an eye to finishing a given textbook. It will have reached its objective if each student leaves with a clearly improved ability to produce oral and written Arabic in a variety of contexts (personal and professional correspondence, description, prescription, comparison narration, argumentation, etc.), to listen and understand spoken MSA, and to read a variety of texts (short stories, a novel, media writing, poetry, social media, opinion pieces, etc.) and a deepened understanding of the diversity of the Arab experience. An important component of the course is taking the learning outside the classroom: through visits to an Arab neighborhood, interviews of Arabs in Chicago, producing a play.",Autumn,Hala Abdel Mobdy,NaN,ARAB 20103 or equivalent
